"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"DM01"	"DM02"	"DM03_01"	"DM04"	"DM06_01"	"EX01"	"EX02"	"EX03"	"EX03_01"	"EX03_02"	"EX03_03"	"EX03_05"	"EX03_04"	"PR01_01"	"PR01_02"	"PR01_03"	"PR01_04"	"PR01_05"	"PR01_06"	"PR01_07"	"PR01_08"	"PR02_01"	"PR02_02"	"PR02_03"	"PR02_04"	"PR02_05"	"PR02_06"	"PR02_07"	"PR02_08"	"PR02_09"	"PR02_10"	"PR02_11"	"PR04"	"PR05"	"PR05_01"	"PR05_02"	"PR05_03"	"PR05_04"	"PR05_06"	"PR05_07"	"PR06_01"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"STATUS"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"
35			"qPOST"	"interview"	2025-06-04 15:14:32					"07"									4	3	3	3	3	5	4	3	5	5	5	5	5	5	5	4	6	4	6	5	1	F	F	F	F	F	T	89	2157	141	70	20	6			243		2025-06-04 15:54:26		T	F	5	5	0	0	0.87
37			"qPRE"	"interview"	2025-06-04 18:43:56	38	2	"Italiana"	3	"08"	3	1	1	F	F	T	F	F	1	1	1	1	7	5	5	4	6	7	7	7	7	7	6	7	6	2	6	3	1	F	F	F	T	F	F		4	35	49	22	104	15	19	248		2025-06-04 18:48:04		T	F	7	7	0	0	1.23
38			"qPOST"	"interview"	2025-06-04 18:50:50					"08"									1	1	1	1	7	4	7	6	7	7	7	7	7	7	7	7	6	2	7	3	1	F	F	F	T	F	F	98	6	2034	103	35	16			188		2025-06-04 19:27:24		T	F	5	5	0	0	0.65
39			"qPRE"	"interview"	2025-06-05 08:21:45	26	2	"Ungherese"	5	"09"	3	1	1	F	F	T	F	F	6	4	5	5	7	5	7	5	7	6	7	7	7	7	5	7	7	5	6	2	1	F	F	F	F	F	T		1428	273	47	18	70	11	16	441		2025-06-05 08:52:49		T	F	7	7	0	0	0.82
40			"qPOST"	"interview"	2025-06-05 08:55:55					"09"									5	5	5	7	6	4	7	6	7	6	7	7	6	7	6	7	7	6	7	5	1	F	F	T	F	F	F	87	2303	23	64	31	10			134		2025-06-05 09:36:26		T	F	5	5	0	0	0.89
41			"qPRE"	"interview"	2025-06-05 10:30:59	20	2	"Italiana"	6	"10"	3	1	1	F	F	T	F	F	5	6	5	6	4	5	4	4	5	4	6	4	4	4	4	4	5	4	5	4	1	T	F	F	F	F	F		5	84	40	12	60	10	11	222		2025-06-05 10:34:41		T	F	7	7	0	0	1.38
42			"qPOST"	"interview"	2025-06-05 11:15:53					"10"									5	5	6	6	4	6	4	4	5	5	6	4	4	5	5	6	6	6	6	6	1	F	F	F	T	F	F	95	3	20	48	25	11			107		2025-06-05 11:17:40		T	F	5	5	0	0	1.44
45			"qPRE"	"interview"	2025-06-05 15:19:50	8	2	"Italiana"	5	"11"	3	1	2	F	T	T	F	F	1	1	1	1	5	6	5	4	5	4	6	4	4	5	5	6	5	4	6	4	1	T	F	F	F	F	F		4	144	17	15	54	8	4	246		2025-06-05 15:23:56		T	F	7	7	0	0	1.71
48			"qPOST"	"interview"	2025-06-05 15:59:27					"11"									1	1	1	1	5	6	5	4	5	5	6	4	1	5	4	6	5	1	5	4	1	T	F	F	F	F	F	71	3	16	54	11	4			88		2025-06-05 16:00:55		T	F	5	5	0	0	2.03
49			"qPRE"	"interview"	2025-06-05 16:05:18	17	1	"Italiano"	5	"12"	4	1	4	T	T	T	T	F	1	1	1	1	4	4	1	1	4	2	4	1	1	4	1	1	1	1	1	2	1	T	F	F	F	F	F		4	230	31	22	106	10	19	422		2025-06-05 16:12:20		T	F	7	7	0	0	1
50			"qPOST"	"interview"	2025-06-05 16:47:11					"12"									1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	T	F	F	F	F	F	101	5	8	123	16	7			159		2025-06-05 16:49:50		T	F	5	5	0	0	1.58
51			"qPRE"	"interview"	2025-06-05 17:06:49	9	1	"Italiana"	4	"13"	4	1	4	T	T	T	T	F	1	1	1	1	1	1	1	1	4	2	4	2	3	4	1	6	4	1	5	4	1	T	F	F	F	F	F		4	170	22	22	54	31	6	290		2025-06-05 17:11:58		T	F	7	7	0	0	1.33
52			"qPOST"	"interview"	2025-06-05 17:40:21					"13"									1	1	1	1	1	1	1	1	3	4	2	2	6	4	5	5	6	1	4	5	1	F	F	F	T	F	F	18	30	23	106	12	6			177		2025-06-05 17:43:18		T	F	5	5	0	0	1.21
55			"qPRE"	"interview"	2025-06-06 13:33:50	9	1	"Italiana"	4	"15"	3	1	3	T	T	T	F	F	2	1	1	2	5	5	3	4	5	5	6	5	1	7	2	6	6	2	6	3	1	F	F	F	F	F	T		3	16	30	26	123	26	19	229		2025-06-06 13:37:53		T	F	7	7	0	0	1.26
56			"qPOST"	"interview"	2025-06-06 14:27:40					"15"									2	1	1	4	5	5	4	5	5	5	6	5	3	7	5	6	5	2	5	5	1	F	F	F	F	F	T	101	4	290	100	15	9			418		2025-06-06 14:34:38		T	F	5	5	0	0	1.06
57			"qPRE"	"interview"	2025-06-06 15:22:25	13	2	"Italiana"	6	"24"	5	1	4	T	T	T	T	F	1	1	1	1	3	5	1	1	3	3	5	1	1	1	1	3	4	1	5	4	1	F	F	F	F	F	T		4	164	46	16	91	14	22	357		2025-06-06 15:28:22		T	F	7	7	0	0	1
58			"qPRE"	"interview"	2025-06-06 15:32:55	6	2	"italiana"	3	"16"	2	1	1	F	F	T	F	F	1	1	1	1	5	5	5	1	4	4	5	3	3	6	4	5	5	3	6	2	1	F	T	F	F	F	F		7	12	20	19	85	10	11	164		2025-06-06 15:35:39		T	F	7	7	0	0	1.45
59			"qPOST"	"interview"	2025-06-06 16:12:57					"16"									1	1	1	1	5	2	5	1	4	4	4	4	3	4	2	4	5	2	5	2	1	F	T	F	F	F	F	22	6	16	61	19	4			106		2025-06-06 16:14:43		T	F	5	5	0	0	1.59
61			"qPRE"	"interview"	2025-06-09 08:47:55	10	2	"italiana"	5	"17"	3	1	1	F	F	T	F	F	1	1	1	1	2	3	1	1	5	3	5	1	1	1	1	1	6	1	5	1	1	F	F	F	F	T	F		6	28	20	21	108	14	15	212		2025-06-09 08:51:27		T	F	7	7	0	0	1.32
62			"qPOST"	"interview"	2025-06-09 09:38:12					"17"									1	1	1	1	2	1	1	1	3	3	1	1	1	1	3	1	6	3	6	3	1	F	F	F	T	F	F	61	11	5	92	84	23			201		2025-06-09 09:41:47		T	F	5	5	0	0	1.05
63			"qPRE"	"interview"	2025-06-09 13:33:33	14	2	"Messicana"	4	"18"	2	1	1	F	F	T	F	F	1	1	5	6	4	7	6	4	7	4	6	4	6	5	4	3	5	3	2	5	1	F	F	F	F	F	T		15	471	46	20	127	32	23	714		2025-06-09 13:45:47		T	F	7	7	0	0	0.6
64			"qPOST"	"interview"	2025-06-09 14:32:55					"18"									2	5	5	6	4	6	6	2	7	5	5	4	6	6	5	4	7	6	6	5	1	F	F	F	F	F	T	96	5	34	82	25	4			150		2025-06-09 14:35:25		T	F	5	5	0	0	1.3
65			"qPRE"	"interview"	2025-06-09 18:58:14	39	1	"ITALIANA"	3	"19"	3	1	3	T	T	T	F	F	1	1	1	1	5	5	5	4	6	4	5	3	2	5	4	6	4	4	4	4	1	T	F	F	F	F	F		7	145	32	28	82	19	26	339		2025-06-09 19:03:53		T	F	7	7	0	0	0.85
66			"qPOST"	"interview"	2025-06-09 19:45:13					"19"									1	1	1	1	5	4	5	3	6	2	6	4	6	6	4	6	2	1	5	4	1	T	F	F	F	F	F	91	3	184	80	15	14			296		2025-06-09 19:50:09		T	F	5	5	0	0	1.15
67			"qPRE"	"interview"	2025-06-10 10:17:52	37	1	"italiana"	3	"20"	3	1	1	F	F	T	F	F	1	2	2	2	5	5	6	5	6	4	6	4	6	6	3	5	5	3	6	3	1	T	F	F	F	F	F		6	1163	23	22	81	17	14	316		2025-06-10 10:39:58		T	F	7	7	0	0	0.91
68			"qPOST"	"interview"	2025-06-10 10:46:26					"20"									1	2	2	2	5	4	6	5	6	5	6	4	5	6	5	6	7	5	7	3	1	T	F	F	F	F	F	81	5	2296	74	53	9			169		2025-06-10 11:27:03		T	F	5	5	0	0	0.79
69			"qPRE"	"interview"	2025-06-10 13:27:30	9	2	"Italiana"	4	"21"	3	1	2	T	F	T	F	F	1	2	1	1	7	3	6	2	6	4	6	2	5	6	3	5	5	1	5	1	1	F	T	F	F	F	F		4	518	15	17	73	7	10	644		2025-06-10 13:38:14		T	F	7	7	0	0	1.36
70			"qPRE"	"interview"	2025-06-10 14:16:16	9	2	"Italiana"	4	"21"	3	1	2	T	F	T	F	F	3	3	4	3	5	5	6	4	5	4	5	5	6	6	5	4	6	3	6	2	1	F	T	F	F	F	F		4	27	12	9	55	6	5	118		2025-06-10 14:18:14		T	F	7	7	0	0	2.3
71			"qPRE"	"interview"	2025-06-10 15:24:55	33	1	"italiana"	3	"22"	2	2	2	T	F	T	F	F	5	4	5	4	6	6	6	5	6	5	6	4	6	6	6	6	4	6	4	1	1	F	F	T	F	F	F		3	134	35	27	152	28	51	378		2025-06-10 15:32:05		T	F	7	7	0	0	0.88
72			"qPOST"	"interview"	2025-06-10 16:05:29					"22"									4	4	5	5	7	5	5	5	6	5	5	4	5	6	4	6	6	6	6	1	1	F	F	F	T	F	F	101	6	30	183	54	12			285		2025-06-10 16:10:14		T	F	5	5	0	0	0.74
73			"qPRE"	"interview"	2025-06-10 16:40:51	39	1	"italiana"	5	"23"	1	2	1	T	F	F	F	F	2	2	2	2	5	5	4	2	5	4	5	4	4	6	4	4	5	5	5	1	1	F	T	F	F	F	F		6	167	34	34	144	20	30	435		2025-06-10 16:48:06		T	F	7	7	0	0	0.74
74			"qPOST"	"interview"	2025-06-10 17:29:23					"23"									5	5	4	5	5	5	5	2	5	5	6	6	5	6	6	5	6	6	6	4	1	F	F	F	T	F	F	86	6	30	145	70	31			260		2025-06-10 17:34:05		T	F	5	5	0	0	0.65
75			"qPOST"	"interview"	2025-06-11 10:20:26					"24"									1	1	1	1	2	5	1	1	3	3	1	1	2	3	4	5	7	1	6	5	1	F	F	F	F	F	T	84	4	3	103	12	7			129		2025-06-11 10:22:35		T	F	5	5	0	0	1.79
76			"qPRE"	"interview"	2025-06-11 13:26:12	40	2	"italiana"	3	"25"	2	1	1	F	F	T	F	F	1	1	1	1	5	4	1	1	5	3	4	2	2	3	1	5	3	1	3	3	1	F	T	F	F	F	F		3	153	31	22	90	13	15	327		2025-06-11 13:31:39		T	F	7	7	0	0	1.13
77			"qPOST"	"interview"	2025-06-11 14:07:33					"25"									2	1	2	3	5	5	4	2	3	3	4	2	2	2	2	4	4	1	4	4	1	F	T	F	F	F	F	67	3	19	77	43	7			149		2025-06-11 14:10:02		T	F	5	5	0	0	1.32
78			"qPRE"	"interview"	2025-06-11 15:10:40	15	1	"Italiana"	5	"26"	3	1	2	F	T	T	F	F	2	2	3	2	4	3	3	3	2	4	3	3	4	3	3	3	5	4	5	2	1	F	T	F	F	F	F		859	141	76	28	91	15	13	370		2025-06-11 15:31:03		T	F	7	7	0	0	0.75
79			"qPOST"	"interview"	2025-06-11 16:02:53					"26"									2	2	3	2	4	3	3	4	3	2	3	3	4	3	4	4	4	4	4	2	1	F	F	F	F	T	F	29	487	12	67	48	10			143		2025-06-11 16:13:17		T	F	5	5	0	0	1.04
80			"qPRE"	"interview"	2025-06-11 17:05:13	12	2	"Italiana"	5	"27"	2	1	1	F	F	T	F	F	1	1	1	1	1	1	1	1	3	3	6	6	6	1	1	6	1	1	1	3	1	F	T	F	F	F	F		4	193	17	22	77	8	14	335		2025-06-11 17:10:48		T	F	7	7	0	0	1.26
81			"qPOST"	"interview"	2025-06-11 17:48:41					"27"									1	1	1	1	1	2	1	1	3	3	4	4	4	2	2	2	2	2	2	3	1	F	T	F	F	F	F	19	3	12	55	24	10			104		2025-06-11 17:50:25		T	F	5	5	0	0	1.61
82			"qPRE"	"interview"	2025-06-12 13:22:01	4	2	"Inglese e Italiana"	3	"28"	2	2	1	F	F	F	F	T	2	3	3	3	5	5	6	5	4	4	4	4	4	4	4	4	4	4	5	4	1	F	T	F	F	F	F		377	369	25	18	170	13	31	632		2025-06-12 13:38:44		T	F	7	7	0	0	0.69
83			"qPOST"	"interview"	2025-06-12 14:16:05					"28"									3	6	4	3	5	5	6	3	5	5	3	6	5	6	6	5	6	5	7	3	1	F	F	F	T	F	F	68	4	20	92	59	7			182		2025-06-12 14:19:07		T	F	5	5	0	0	1.13
84			"qPRE"	"interview"	2025-06-12 14:35:59	7	1	"Italian"	4	"29"	3	1	2	F	T	T	F	F	1	1	4	1	6	6	4	4	5	5	4	4	1	1	3	4	1	1	4	3	1	F	T	F	F	F	F		9	272	17	16	85	7	14	420		2025-06-12 14:43:00		T	F	7	7	0	0	1.18
85			"qPOST"	"interview"	2025-06-12 15:17:09					"29"									1	4	4	1	6	5	6	3	2	3	5	4	1	1	2	4	1	1	1	3	1	F	T	F	F	F	F	21	10	175	71	27	11			294		2025-06-12 15:22:03		T	F	5	5	0	0	0.77
86			"qPRE"	"interview"	2025-06-12 15:38:47	11	2	"Italiana"	5	"30"	5	1	4	T	T	T	T	F	1	1	1	1	1	1	1	1	4	4	3	1	1	1	1	1	5	1	5	5	1	F	F	F	T	F	F		3	176	23	21	89	11	12	335		2025-06-12 15:44:22		T	F	7	7	0	0	1.23
87			"qPOST"	"interview"	2025-06-12 16:18:49					"30"									1	1	1	1	1	1	1	1	4	4	4	1	1	1	1	1	5	1	5	6	1	F	F	F	T	F	F	101	4	37	43	9	18			111		2025-06-12 16:20:40		T	F	5	5	0	0	1.58
88			"qPRE"	"interview"	2025-06-13 14:53:10	50	2	"Italiana"	3	"31"	2	1	1	F	F	T	F	F	1	1	1	1	6	7	6	3	5	6	7	4	6	6	6	6	5	3	6	6	1	F	F	F	T	F	F		604	327	34	32	151	15	17	582		2025-06-13 15:12:50		T	F	7	7	0	0	0.62
89			"qPOST"	"interview"	2025-06-13 15:20:06					"31"									1	1	1	1	5	5	2	2	4	3	4	4	6	4	4	4	6	2	4	6	1	F	F	F	T	F	F	86	1847	133	146	29	6			320		2025-06-13 15:56:08		T	F	5	5	0	0	0.65
90			"qPRE"	"interview"	2025-06-13 16:00:14	52	1	"italiana"	3	"32"	3	2	3	T	F	T	T	F	4	4	5	4	6	5	6	4	6	6	6	6	6	6	5	5	6	5	5	2	1	F	F	F	F	F	T		5	24	25	26	98	12	17	207		2025-06-13 16:03:42		T	F	7	7	0	0	1.29
91			"qPOST"	"interview"	2025-06-13 16:47:59					"32"									3	4	4	4	5	4	6	4	5	4	6	5	5	5	4	6	5	4	4	2	1	F	F	F	F	F	T	81	10	28	102	32	12			184		2025-06-13 16:51:03		T	F	5	5	0	0	0.82
